,holding_id,destination,distance,originID,destID,size_origin,size_destination
0,35133387,35331008,11827,0,15,2,150
1,35331013,35331008,2564,1,15,88,150
2,35340004,35331008,9336,3,15,499,150
3,35133024,35331008,11449,5,15,126,150
4,35133089,35331008,13541,6,15,160,150
5,35133186,35331008,14012,7,15,309,150
6,35133375,35331008,12748,8,15,211,150
7,35331130,35331008,2139,9,15,64,150
8,35133382,35331008,6594,10,15,265,150
9,35133356,35331008,11175,12,15,74,150
10,35340005,35331008,10221,14,15,402,150
11,35331008,35331008,0,15,15,150,150
12,35133061,35331008,12503,16,15,34,150
13,35133371,35331008,10240,18,15,258,150
14,35133229,35331008,11449,19,15,101,150
15,35133220,35331008,10200,20,15,121,150
16,35133057,35331008,9324,21,15,322,150
17,35331036,35331008,3221,23,15,9,150
18,35133048,35331008,9324,24,15,1181,150
19,35331082,35331008,2369,25,15,152,150
20,35133380,35331008,13160,26,15,250,150
21,35188007,35331008,7167,27,15,102,150
22,35331077,35331008,5887,28,15,221,150
23,35331028,35331008,4676,29,15,6,150
24,35340003,35331008,9201,30,15,1029,150
25,35331012,35331008,4723,33,15,386,150
26,35133044,35331008,12714,34,15,146,150
27,35133168,35331008,10653,35,15,54,150
28,35133014,35331008,10302,36,15,206,150
29,35133292,35331008,13055,37,15,140,150
30,35340094,35331008,10287,38,15,1200,150
31,35331084,35331008,2328,39,15,166,150
32,35305149,35331008,10940,40,15,321,150
33,35331086,35331008,4893,41,15,2,150
34,35133360,35331008,12515,44,15,213,150
35,35133075,35331008,11596,47,15,210,150
36,35133388,35331008,7084,48,15,8,150
37,35133273,35331008,10974,49,15,50,150
38,35133310,35331008,10240,50,15,227,150
39,35340139,35331008,7549,51,15,2,150
40,35331122,35331008,6594,52,15,184,150
41,35188059,35331008,7533,53,15,288,150
42,35340065,35331008,6603,54,15,449,150
43,35331074,35331008,3027,56,15,234,150
44,35133395,35331008,9324,57,15,344,150
45,35133336,35331008,8793,58,15,1870,150
46,35133314,35331008,7588,60,15,994,150
47,35133026,35331008,5306,61,15,130,150
48,35133339,35331008,14220,62,15,223,150
49,35331018,35331008,364,63,15,103,150
50,35331067,35331008,1750,64,15,184,150
51,35133170,35331008,14299,66,15,137,150
52,35133293,35331008,5269,67,15,193,150
53,35133227,35331008,12740,68,15,23,150
54,35133372,35331008,10578,69,15,128,150
55,35133418,35331008,13803,70,15,5,150
56,35340141,35331008,10155,71,15,192,150
57,35340079,35331008,8821,72,15,260,150
58,35133038,35331008,13844,73,15,469,150
59,35133340,35331008,12643,74,15,271,150
60,35133033,35331008,11184,75,15,450,150
61,35331014,35331008,2933,76,15,361,150
62,35133346,35331008,12070,80,15,489,150
63,35133046,35331008,10653,81,15,106,150
64,35188048,35331008,10504,82,15,10,150
65,35305165,35331008,11901,83,15,236,150
66,35133364,35331008,13117,85,15,180,150
67,35133039,35331008,10029,86,15,284,150
68,35133012,35331008,6254,88,15,74,150
69,35133200,35331008,5643,89,15,305,150
70,35133254,35331008,6433,90,15,161,150
71,35133165,35331008,6472,92,15,13,150
72,35331010,35331008,3592,93,15,237,150
73,35133389,35331008,12363,95,15,291,150
74,35133355,35331008,6378,96,15,17,150
75,35331005,35331008,5759,97,15,129,150
76,35133344,35331008,11678,98,15,87,150
77,35133394,35331008,11843,99,15,333,150
78,35340078,35331008,8416,101,15,301,150
79,35133049,35331008,10496,102,15,219,150
80,35331089,35331008,5818,103,15,3,150
81,35133379,35331008,13411,104,15,519,150
82,35331095,35331008,2467,105,15,3,150
83,35133331,35331008,12796,106,15,162,150
84,35331004,35331008,4004,107,15,267,150
85,35133058,35331008,14353,108,15,169,150
86,35340012,35331008,6039,109,15,640,150
87,35133009,35331008,13467,110,15,237,150
88,35133390,35331008,10041,111,15,103,150
89,35133081,35331008,14261,112,15,1,150
90,35133387,35340141,13270,0,71,2,192
91,35331013,35340141,10152,1,71,88,192
92,35340004,35340141,2398,3,71,499,192
93,35133024,35340141,12144,5,71,126,192
94,35133089,35340141,13975,6,71,160,192
95,35133186,35340141,11745,7,71,309,192
96,35133375,35340141,8966,8,71,211,192
97,35331130,35340141,10594,9,71,64,192
98,35133382,35340141,7665,10,71,265,192
99,35133356,35340141,4097,12,71,74,192
100,35340005,35340141,3273,14,71,402,192
101,35331008,35340141,10155,15,71,150,192
102,35133061,35340141,9378,16,71,34,192
103,35133371,35340141,11007,18,71,258,192
104,35133229,35340141,12144,19,71,101,192
105,35133220,35340141,11112,20,71,121,192
106,35133057,35340141,3493,21,71,322,192
107,35133029,35340141,12664,22,71,590,192
108,35331036,35340141,10096,23,71,9,192
109,35133048,35340141,3493,24,71,1181,192
110,35331082,35340141,11851,25,71,152,192
111,35133380,35340141,9404,26,71,250,192
112,35188007,35340141,12138,27,71,102,192
113,35331077,35340141,10972,28,71,221,192
114,35331028,35340141,10231,29,71,6,192
115,35340003,35340141,976,30,71,1029,192
