,betaInP,omega,gen,w,dist
0,0.532833024789759,0.053413660089041665,0,0.002,12828652
0,0.4424496222804294,0.09545920072476095,0,0.002,19834531
0,0.3973613824262844,0.09288450990774444,0,0.002,19770230
0,0.6197676856740669,0.0859479257200863,0,0.002,19083849
0,0.37806756526216034,0.08344240416023535,0,0.002,18551704
0,0.09460368083917037,0.029327622892126162,0,0.002,6523760
0,0.6438718713489937,0.06637307107636188,0,0.002,15695927
0,0.9579914174566104,0.011759741483294629,0,0.002,2239789
0,0.15689995613524665,0.06425472442810008,0,0.002,14779893
0,0.9321333597185287,0.09639742896505463,0,0.002,21134068
0,0.05329960899069519,0.08710203953649939,0,0.002,18677565
0,0.1020183154618387,0.024782635515388986,0,0.002,5305777
0,0.9719421245675055,0.09898533546637363,0,0.002,21377314
0,0.11450554539306657,0.0041514553209440865,0,0.002,894905
0,0.6423243124079456,0.06066165673258692,0,0.002,14745595
0,0.2275776811626088,0.025478729904017207,0,0.002,5461003
0,0.7471092153367259,0.043944094614945466,0,0.002,10816211
0,0.455425675950751,0.005140539777748143,0,0.002,1092147
0,0.07883209440102923,0.012482839161278148,0,0.002,2213568
0,0.6796400993705849,0.014389868802896456,0,0.002,2756114
0,0.9976521374357618,0.04223859054475035,0,0.002,10544671
0,0.7310130953509266,0.03637840896806634,0,0.002,8787570
0,0.24716551008739518,0.000832486973709723,0,0.002,836015
0,0.2241275731363681,0.08310788582298051,0,0.002,18314412
0,0.9448307918162552,0.04380869100769628,0,0.002,10731977
0,0.045196135241574065,0.033062763896462836,0,0.002,7498999
0,0.8959333486252712,0.08477455854527655,0,0.002,19170346
0,0.7044227383478301,0.054644887467328,0,0.002,13398417
0,0.34155390837870303,0.005319016835823665,0,0.002,1111757
0,0.11985778148300175,0.06635104833179248,0,0.002,15229403
0,0.6297674564059864,0.07859232865262647,0,0.002,17982887
0,0.05471807783814775,0.08783952549229031,0,0.002,18826439
0,0.9976444266219433,0.08123954430309938,0,0.002,18741689
0,0.5371131779527619,0.0662235051760816,0,0.002,15890601
0,0.9319222748930087,0.017783855615207466,0,0.002,3601606
0,0.40053242716044235,0.009663042985583459,0,0.002,1635263
0,0.542636480112455,0.03378136440181615,0,0.002,7866107
0,0.7649553609375899,0.009026110475259252,0,0.002,1652369
0,0.8880809450903944,0.0563525215407656,0,0.002,13919033
0,0.06807286485893893,0.013785650026670615,0,0.002,2480117
0,0.17490697680818978,0.0649709512722897,0,0.002,15120995
0,0.7596771256825772,0.08603846696779618,0,0.002,19353173
0,0.8177608261407581,0.08413592153563992,0,0.002,18981308
0,0.11663428845402846,0.07993409572926252,0,0.002,17719898
0,0.9656648627957795,0.014199530849224186,0,0.002,2831383
0,0.2925143651673333,0.00223208047078588,0,0.002,827198
0,0.5919009190520739,0.05582359282701019,0,0.002,13429602
0,0.2328753224189144,0.0829662070945792,0,0.002,18265959
0,0.14494479573315666,0.045298577921248855,0,0.002,10779279
0,0.9983615709418401,0.047998192658142605,0,0.002,12049336
0,0.30296794754353384,0.06731337658072745,0,0.002,15653054
0,0.6706674631307538,0.03529760818802015,0,0.002,8510720
0,0.012061457255571839,0.06523143417708231,0,0.002,14927481
0,0.9110854993359413,0.0973326113258645,0,0.002,20944891
0,0.8940016081977262,0.043276380550631766,0,0.002,10657254
0,0.6029705052521944,0.044976318068742964,0,0.002,10980551
0,0.48154504310425394,0.014266918113002259,0,0.002,2694138
0,0.5215403352934392,0.022288760749129544,0,0.002,4775367
0,0.5490689828881357,0.08475959442051816,0,0.002,18870496
0,0.2383370864614136,0.0011105359377512447,0,0.002,828274
0,0.6187568794919511,0.09918843401906398,0,0.002,20919748
0,0.44574189412863474,0.07830296199377239,0,0.002,17775718
0,0.516236214554438,0.07471270939509284,0,0.002,17281119
0,0.5402810042991915,0.02837435320513129,0,0.002,6469315
0,0.9293016591853767,0.05184999502183897,0,0.002,12853075
0,0.4015782646072442,0.04672571711112064,0,0.002,11351074
0,0.8793868278773777,0.09897529443717525,0,0.002,21288416
0,0.33536084392533705,0.06908648339004834,0,0.002,16135405
0,0.54232534238349,0.036883528305301304,0,0.002,8849809
0,0.3284315232156291,0.03395037178354864,0,0.002,7968492
0,0.44612716740096225,0.09238789913464651,0,0.002,19847445
0,0.8715495871740324,0.08061186419652103,0,0.002,18382318
0,0.8383347276219999,0.064823512368589,0,0.002,15420053
0,0.58560670818226,0.0983319532086028,0,0.002,20811694
0,0.4100223469911508,0.035436626251433935,0,0.002,8421452
0,0.2004323276606358,0.023563300019084632,0,0.002,4967351
0,0.3748365185480286,0.026709778433404052,0,0.002,5898617
0,0.01375378739071953,0.0650306068874271,0,0.002,14924639
0,0.40014839986075734,0.08947196708697032,0,0.002,19313499
0,0.8964401571745593,0.07077146998033883,0,0.002,16880146
0,0.20928541425720437,0.015298323500808798,0,0.002,2900164
0,0.6061235776828978,0.06528854578241883,0,0.002,15590939
0,0.36245545984028227,0.04143198863172009,0,0.002,9953907
0,0.27776992065212047,0.011454010012510563,0,0.002,2037994
0,0.7431928950072103,0.06238669652588942,0,0.002,15073795
0,0.47327435835606246,0.08869460038103222,0,0.002,19177654
0,0.2685757729203343,0.018731970790120702,0,0.002,3729981
0,0.9300214982771485,0.09026242146497408,0,0.002,19954283
0,0.5331549005237372,0.010333172366864075,0,0.002,1851246
0,0.716632127521328,0.016203312598745225,0,0.002,3182243
0,0.8140289183439706,0.03415533182850126,0,0.002,8188804
0,0.904099459827699,0.019862808355296302,0,0.002,4219220
0,0.03138171774681253,0.06743326633834396,0,0.002,15465119
0,0.5232926626246135,0.07819150915854717,0,0.002,17640491
0,0.9157484392682761,0.03312345416553791,0,0.002,7915423
0,0.7516887543880821,0.027199502644666675,0,0.002,6254047
0,0.44998073272233263,0.006914512650445237,0,0.002,1239692
0,0.17705150310589346,0.047290944155071825,0,0.002,11223922
0,0.8660836377403518,0.05585335542691729,0,0.002,13733968
0,0.9602670584392604,0.04831817629583943,0,0.002,12006077
0,0.13065814728106007,0.056486076390903965,0,0.002,13320462
0,0.3162610514563151,0.0821945713123199,0,0.002,18321950
0,0.8299408372004878,0.003862473162603053,0,0.002,994196
0,0.35335173446871027,0.08510866800430232,0,0.002,18697704
0,0.823705204388689,0.03643334768600459,0,0.002,8880784
0,0.7541487063203938,0.03720691003378127,0,0.002,9097143
0,0.01838553300557888,0.09359248892122454,0,0.002,19670978
0,0.14001163177986964,0.09339126177250538,0,0.002,19690752
0,0.24544611820241913,0.04146356712481972,0,0.002,9845271
0,0.16044144175738517,0.051410297969908196,0,0.002,12269174
0,0.5654573808084106,0.06463390420769707,0,0.002,15180619
0,0.23394740530937908,0.011448312101300852,0,0.002,2058552
0,0.6994308470921607,0.006113614078305097,0,0.002,1199711
0,0.4278650167728124,0.05590227844052875,0,0.002,13372259
0,0.8711962887743311,0.025056840573101938,0,0.002,5687296
0,0.8407080676779926,0.06062135436686605,0,0.002,14861912
0,0.9791749925659247,0.002221841059333585,0,0.002,848750
0,0.02644005827481577,0.062305114185800196,0,0.002,14454868
0,0.3948277047887616,0.053762819453581,0,0.002,12785929
0,0.3507464635424805,0.07452409857135889,0,0.002,17040953
0,0.6299524240805782,0.06518041840623044,0,0.002,15562460
0,0.8250963373291498,0.06264347014025572,0,0.002,15196235
0,0.8498538659388186,0.05257557443799599,0,0.002,12948092
0,0.04294630310340297,0.0005675645923685968,0,0.002,784362
0,0.8410016335899749,0.02644092666287693,0,0.002,6030997
0,0.19221758172968417,0.04353664080501973,0,0.002,10283863
0,0.3813512426863612,0.05229118479781162,0,0.002,12587743
0,0.1908666806553927,0.04030786987097901,0,0.002,9378866
0,0.9012186085445444,0.09841937261412677,0,0.002,21013878
0,0.7977627429606717,0.04300334672393267,0,0.002,10548896
0,0.3811464318132527,0.035604683596461704,0,0.002,8402524
0,0.2754545656285158,0.09798266006926008,0,0.002,20418787
0,0.7899115037804977,0.0010763911223942157,0,0.002,861785
0,0.4705095057492994,0.08461014597457678,0,0.002,18840346
0,0.017281624149532604,0.04734157791577523,0,0.002,11283009
0,0.7493369799073438,0.07395237884932275,0,0.002,17221460
0,0.1591791215018311,0.03287202379032431,0,0.002,7649154
0,0.4346655172935431,0.010588042663647624,0,0.002,1853119
0,0.5590084332060752,0.09634271466723221,0,0.002,20511258
0,0.04917616537592673,0.005586402569401939,0,0.002,1019799
0,0.564267316368068,0.021616505257988406,0,0.002,4663615
0,0.527952576480559,0.07131428359360888,0,0.002,16753609
0,0.3475362987423922,0.07460171379792914,0,0.002,16817352
0,0.37733615377320195,0.0400912153475855,0,0.002,9689689
0,0.6244730509150402,0.06892453401509631,0,0.002,16279692
0,0.2399903676333235,0.02016254222317131,0,0.002,4154531
0,0.28582629829361605,0.05229039867202767,0,0.002,12577064
0,0.6047392466936198,0.017692785093753407,0,0.002,3568430
0,0.47445168932276616,0.027892987821232052,0,0.002,6253286
